Date,Investor_ID,Cash_Balance,Stock_Value,Total_Equity,Qty_AEL,Qty_CFIN,Qty_COMB,Qty_DFCC,Qty_DIAL,Qty_HAYL,Qty_HHL,Qty_HNB,Qty_JKH,Qty_LFIN,Qty_LIOC,Qty_LOFC,Qty_MELS,Qty_NDB,Qty_NTB
2020-01-28,INV_01,747342.24,243923.97,991266.22,0,0,741,0,0,0,0,0,0,0,0,0,5492,0,1145
2020-01-29,INV_01,634159.55,356531.65,990691.2,0,0,741,0,0,0,0,0,0,0,0,0,5492,0,2963
2020-01-30,INV_01,665058.99,322759.14,987818.13,0,0,741,0,0,0,0,0,0,0,0,0,4119,0,2963
2020-01-31,INV_01,564398.64,421702.58,986101.22,0,0,741,0,0,0,0,869,0,0,0,0,4119,0,2963
2020-02-03,INV_01,609501.41,374135.55,983636.95,0,0,741,0,0,0,0,869,0,0,0,0,4119,0,2222
2020-02-04,INV_01,609501.41,374135.55,983636.95,0,0,741,0,0,0,0,869,0,0,0,0,4119,0,2222
2020-02-05,INV_01,632087.25,349621.33,981708.58,0,0,741,0,0,0,0,869,0,0,0,0,3089,0,2222
2020-02-06,INV_01,643663.79,333548.65,977212.44,0,0,555,0,0,0,0,869,0,0,0,0,3089,0,2222
2020-02-07,INV_01,546196.16,430906.98,977103.13,0,0,2090,0,0,0,0,869,0,0,0,0,3089,0,2222
2020-02-10,INV_01,463473.62,511925.09,975398.71,0,0,2090,0,0,0,0,869,0,3102,0,0,3089,0,2222
2020-02-11,INV_01,393271.76,581753.71,975025.47,0,0,3198,0,0,0,0,869,0,3102,0,0,3089,0,2222
2020-02-12,INV_01,425852.57,547406.13,973258.7,0,0,3198,0,0,0,0,869,0,3102,0,0,3089,0,1666
2020-02-13,INV_01,425852.57,539082.8,964935.37,0,0,3198,0,0,0,0,869,0,3102,0,0,3089,0,1666
2020-02-14,INV_01,446671.21,515756.5,962427.71,0,0,3198,0,0,0,0,869,0,2326,0,0,3089,0,1666
2020-02-17,INV_01,379001.61,582750.54,961752.14,0,0,3198,0,0,0,0,869,0,2326,0,18108,3089,0,1666
2020-02-18,INV_01,379001.61,588351.93,967353.54,0,0,3198,0,0,0,0,869,0,2326,0,18108,3089,0,1666
2020-02-19,INV_01,321585.87,653413.25,974999.12,0,0,3198,0,0,0,0,869,0,2326,0,18108,5761,0,1666
2020-02-20,INV_01,345554.22,622728.83,968283.05,0,0,3198,0,0,0,0,651,0,2326,0,18108,5761,0,1666
2020-02-21,INV_01,293216.84,674548.02,967764.86,0,0,3198,0,0,0,0,651,0,4291,0,18108,5761,0,1666
2020-02-24,INV_01,248801.29,719996.54,968797.83,0,0,3198,0,0,0,0,651,0,4291,0,18108,7828,0,1666
2020-02-25,INV_01,248801.29,710127.94,958929.23,0,0,3198,0,0,0,0,651,0,4291,0,18108,7828,0,1666
2020-02-26,INV_01,297270.51,650727.36,947997.88,0,0,2398,0,0,0,0,651,0,4291,0,18108,7828,0,1666
2020-02-27,INV_01,314502.52,630571.05,945073.57,0,0,2398,0,0,0,0,488,0,4291,0,18108,7828,0,1666
2020-02-28,INV_01,354027.74,581935.28,935963.02,0,0,2398,0,0,0,0,488,0,4291,0,18108,5871,0,1666
2020-03-02,INV_01,389961.82,545543.17,935505.0,0,0,1798,0,0,0,0,488,0,4291,0,18108,5871,0,1666
2020-03-03,INV_01,330898.91,609973.47,940872.38,0,0,1798,0,0,0,921,488,0,4291,0,18108,5871,0,1666
2020-03-04,INV_01,346136.79,582615.99,928752.78,0,0,1798,0,0,0,921,488,0,4291,0,13581,5871,0,1666
2020-03-05,INV_01,372792.31,546357.44,919149.76,0,0,1798,0,0,0,921,488,0,3218,0,13581,5871,0,1666
2020-03-06,INV_01,383214.64,518460.51,901675.15,0,0,1798,0,0,0,921,488,0,3218,0,10185,5871,0,1666
2020-03-09,INV_01,391031.38,510564.81,901596.19,0,0,1798,0,0,0,921,488,0,3218,0,7638,5871,0,1666
2020-03-10,INV_01,416360.07,471219.63,887579.7,0,0,1798,0,0,0,921,488,0,3218,0,7638,4403,0,1666
2020-03-11,INV_01,353295.03,539996.85,893291.87,0,0,1798,0,0,0,921,488,0,3218,4587,7638,4403,0,1666
2020-03-12,INV_01,376092.83,488703.73,864796.56,0,0,1798,0,0,0,921,488,0,3218,4587,7638,4403,0,1249
2020-03-13,INV_01,388905.02,458361.09,847266.11,0,0,1798,0,0,0,690,488,0,3218,4587,7638,4403,0,1249
2020-03-16,INV_01,388905.02,458361.09,847266.11,0,0,1798,0,0,0,690,488,0,3218,4587,7638,4403,0,1249
2020-03-17,INV_01,329997.48,516685.39,846682.87,0,0,1798,0,0,0,690,488,0,3218,4587,7638,8109,0,1249
2020-03-18,INV_01,280042.88,566145.39,846188.27,0,0,1798,0,0,0,690,1066,0,3218,4587,7638,8109,0,1249
2020-03-19,INV_01,237645.25,608123.24,845768.49,0,628,1798,0,0,0,690,1066,0,3218,4587,7638,8109,0,1249
2020-03-20,INV_01,251844.51,529868.17,781712.69,0,628,1798,0,0,0,690,1066,0,3218,3440,7638,8109,0,1249
2020-03-23,INV_01,251844.51,529868.17,781712.69,0,628,1798,0,0,0,690,1066,0,3218,3440,7638,8109,0,1249
2020-03-24,INV_01,271621.99,509890.92,781512.91,0,628,1798,0,0,0,690,799,0,3218,3440,7638,8109,0,1249
2020-03-25,INV_01,271621.99,509890.92,781512.91,0,628,1798,0,0,0,690,799,0,3218,3440,7638,8109,0,1249
2020-03-26,INV_01,230528.97,550577.08,781106.05,0,1275,1798,0,0,0,690,799,0,3218,3440,7638,8109,0,1249
2020-03-27,INV_01,195609.54,585150.78,780760.31,0,1275,1798,0,0,3673,690,799,0,3218,3440,7638,8109,0,1249
2020-03-30,INV_01,195609.54,585150.78,780760.31,0,1275,1798,0,0,3673,690,799,0,3218,3440,7638,8109,0,1249
2020-03-31,INV_01,215469.04,567339.31,782808.35,0,956,1798,0,0,3673,690,799,0,3218,3440,7638,8109,0,1249
2020-04-01,INV_01,182844.81,599640.53,782485.34,0,956,1798,0,0,3673,690,799,0,3218,3440,7638,8109,604,1249
2020-04-02,INV_01,155175.88,627035.51,782211.39,0,956,2446,0,0,3673,690,799,0,3218,3440,7638,8109,604,1249
2020-04-03,INV_01,170712.57,611341.88,782054.45,0,956,2446,0,0,3673,690,799,0,2413,3440,7638,8109,604,1249
2020-04-06,INV_01,186084.4,595814.78,781899.18,0,956,2446,0,0,3673,690,599,0,2413,3440,7638,8109,604,1249
2020-04-07,INV_01,157907.8,623712.41,781620.21,0,956,2446,0,0,3673,690,599,0,3844,3440,7638,8109,604,1249
2020-04-08,INV_01,168554.15,612958.52,781512.67,0,956,2446,0,0,3673,690,599,0,3844,2580,7638,8109,604,1249
2020-04-09,INV_01,143023.48,638236.41,781259.89,2310,956,2446,0,0,3673,690,599,0,3844,2580,7638,8109,604,1249
2020-04-10,INV_01,143023.48,638236.41,781259.89,2310,956,2446,0,0,3673,690,599,0,3844,2580,7638,8109,604,1249
2020-04-13,INV_01,143023.48,638236.41,781259.89,2310,956,2446,0,0,3673,690,599,0,3844,2580,7638,8109,604,1249
2020-04-14,INV_01,157902.54,623207.05,781109.6,2310,717,2446,0,0,3673,690,599,0,3844,2580,7638,8109,604,1249
2020-04-15,INV_01,133980.49,646892.26,780872.74,2310,717,2446,0,0,3673,690,599,0,3844,2580,18404,8109,604,1249
2020-04-16,INV_01,133980.49,646892.26,780872.74,2310,717,2446,0,0,3673,690,599,0,3844,2580,18404,8109,604,1249
2020-04-17,INV_01,133980.49,646892.26,780872.74,2310,717,2446,0,0,3673,690,599,0,3844,2580,18404,8109,604,1249
2020-04-20,INV_01,149931.52,630780.1,780711.62,2310,717,2446,0,0,3673,690,599,0,3844,2580,18404,8109,604,936
2020-04-21,INV_01,127219.15,653267.6,780486.75,2310,717,2446,0,0,6062,690,599,0,3844,2580,18404,8109,604,936
2020-04-22,INV_01,127219.15,653267.6,780486.75,2310,717,2446,0,0,6062,690,599,0,3844,2580,18404,8109,604,936
2020-04-23,INV_01,138425.14,641948.42,780373.55,2310,537,2446,0,0,6062,690,599,0,3844,2580,18404,8109,604,936
2020-04-24,INV_01,117455.13,662710.8,780165.93,2310,537,2446,0,0,6062,690,599,0,4909,2580,18404,8109,604,936
2020-04-27,INV_01,131582.44,648440.79,780023.23,2310,537,2446,0,0,4546,690,599,0,4909,2580,18404,8109,604,936
2020-04-28,INV_01,111702.82,668123.59,779826.4,2310,850,2446,0,0,4546,690,599,0,4909,2580,18404,8109,604,936
2020-04-29,INV_01,111702.82,668123.59,779826.4,2310,850,2446,0,0,4546,690,599,0,4909,2580,18404,8109,604,936
2020-04-30,INV_01,111702.82,668123.59,779826.4,2310,850,2446,0,0,4546,690,599,0,4909,2580,18404,8109,604,936
2020-05-01,INV_01,119697.37,660048.28,779745.65,2310,850,2446,0,0,4546,690,599,0,4909,2580,18404,8109,453,936
2020-05-04,INV_01,132957.78,646653.92,779611.71,2310,637,2446,0,0,4546,690,599,0,4909,2580,18404,8109,453,936
2020-05-05,INV_01,140942.55,638588.5,779531.05,2310,637,2446,0,0,4546,690,599,0,4909,1935,18404,8109,453,936
2020-05-06,INV_01,119591.35,659728.31,779319.65,2310,637,2446,0,0,4546,690,599,0,4909,1935,28013,8109,453,936
2020-05-07,INV_01,101490.1,677650.34,779140.43,2310,922,2446,0,0,4546,690,599,0,4909,1935,28013,8109,453,936
2020-05-08,INV_01,127104.41,651777.3,778881.7,2310,922,1834,0,0,4546,690,599,0,4909,1935,28013,8109,453,936
2020-05-11,INV_01,137391.28,613440.41,750831.69,2310,922,1834,0,0,3409,690,599,0,4909,1935,28013,8109,453,936
2020-05-12,INV_01,155003.78,568300.38,723304.16,2310,922,1375,0,0,3409,690,599,0,4909,1935,28013,8109,453,936
2020-05-13,INV_01,131541.74,639869.46,771411.2,2310,922,1375,612,0,3409,690,599,0,4909,1935,28013,8109,453,936
2020-05-14,INV_01,131541.74,642204.51,773746.25,2310,922,1375,612,0,3409,690,599,0,4909,1935,28013,8109,453,936
2020-05-15,INV_01,111656.63,683877.4,795534.02,2310,1239,1375,612,0,3409,690,599,0,4909,1935,28013,8109,453,936
2020-05-18,INV_01,94752.14,731643.18,826395.32,3665,1239,1375,612,0,3409,690,599,0,4909,1935,28013,8109,453,936
2020-05-19,INV_01,80452.29,760157.47,840609.76,3665,1239,1375,612,0,3409,947,599,0,4909,1935,28013,8109,453,936
2020-05-20,INV_01,91528.25,738383.89,829912.14,3665,1239,1375,612,0,3409,947,599,0,4909,1935,28013,8109,453,702
2020-05-21,INV_01,91528.25,771458.01,862986.26,3665,1239,1375,612,0,3409,947,599,0,4909,1935,28013,8109,453,702
2020-05-22,INV_01,99400.09,753004.28,852404.37,3665,1239,1375,459,0,3409,947,599,0,4909,1935,28013,8109,453,702
2020-05-25,INV_01,111159.32,741126.28,852285.59,3665,1239,1375,459,0,3409,947,449,0,4909,1935,28013,8109,453,702
2020-05-26,INV_01,111159.32,731288.57,842447.89,3665,1239,1375,459,0,3409,947,449,0,4909,1935,28013,8109,453,702
2020-05-27,INV_01,137121.9,712862.6,849984.5,3665,1239,1375,459,0,3409,947,449,0,3681,1935,28013,8109,453,702
2020-05-28,INV_01,116358.69,736821.36,853180.05,3665,1239,1826,459,0,3409,947,449,0,3681,1935,28013,8109,453,702
2020-05-29,INV_01,136804.22,707534.95,844339.18,3665,1239,1826,459,0,3409,947,449,0,2760,1935,28013,8109,453,702
2020-06-01,INV_01,145206.14,692965.18,838171.32,3665,1239,1826,459,0,3409,947,336,0,2760,1935,28013,8109,453,702
2020-06-02,INV_01,123210.43,712269.19,835479.62,5382,1239,1826,459,0,3409,947,336,0,2760,1935,28013,8109,453,702
2020-06-03,INV_01,123210.43,712634.64,835845.07,5382,1239,1826,459,0,3409,947,336,0,2760,1935,28013,8109,453,702
2020-06-04,INV_01,104551.85,734281.25,838833.1,5382,1239,1826,459,0,3409,947,336,0,2760,1935,28013,9305,453,702
2020-06-05,INV_01,112912.38,725836.27,838748.65,5382,1239,1826,459,0,2556,947,336,0,2760,1935,28013,9305,453,702
2020-06-08,INV_01,131949.49,721200.92,853150.42,5382,929,1826,459,0,2556,947,336,0,2760,1935,28013,9305,453,702
2020-06-09,INV_01,111982.87,755899.7,867882.57,5382,929,1826,459,0,2556,947,336,171,2760,1935,28013,9305,453,702
2020-06-10,INV_01,111982.87,754373.49,866356.36,5382,929,1826,459,0,2556,947,336,171,2760,1935,28013,9305,453,702
2020-06-11,INV_01,111982.87,764493.21,876476.08,5382,929,1826,459,0,2556,947,336,171,2760,1935,28013,9305,453,702
2020-06-12,INV_01,95024.32,780021.95,875046.27,5382,929,1826,459,2416,2556,947,336,171,2760,1935,28013,9305,453,702
2020-06-15,INV_01,95024.32,774270.53,869294.85,5382,929,1826,459,2416,2556,947,336,171,2760,1935,28013,9305,453,702
2020-06-16,INV_01,80711.05,791740.39,872451.44,5382,929,1826,459,2416,2556,947,336,294,2760,1935,28013,9305,453,702
2020-06-17,INV_01,100153.36,784499.56,884652.92,4036,929,1826,459,2416,2556,947,336,294,2760,1935,28013,9305,453,702
2020-06-18,INV_01,84985.09,808009.75,892994.84,4036,929,1826,459,2416,2556,947,336,294,2760,3121,28013,9305,453,702
2020-06-19,INV_01,84985.09,808975.78,893960.87,4036,929,1826,459,2416,2556,947,336,294,2760,3121,28013,9305,453,702
2020-06-22,INV_01,72116.35,839675.21,911791.56,4036,929,1826,459,2416,2556,947,336,294,2760,3121,28013,10041,453,702
2020-06-23,INV_01,72116.35,850505.75,922622.1,4036,929,1826,459,2416,2556,947,336,294,2760,3121,28013,10041,453,702
2020-06-24,INV_01,87367.54,829867.14,917234.69,4036,929,1826,459,2416,2556,947,336,294,2070,3121,28013,10041,453,702
2020-06-25,INV_01,74145.92,855738.0,929883.93,4036,929,2068,459,2416,2556,947,336,294,2070,3121,28013,10041,453,702
2020-06-26,INV_01,74145.92,859792.54,933938.46,4036,929,2068,459,2416,2556,947,336,294,2070,3121,28013,10041,453,702
2020-06-29,INV_01,62948.82,869581.35,932530.17,4036,929,2268,459,2416,2556,947,336,294,2070,3121,28013,10041,453,702
2020-06-30,INV_01,78434.24,855249.3,933683.54,3027,929,2268,459,2416,2556,947,336,294,2070,3121,28013,10041,453,702
2020-07-01,INV_01,78434.24,853762.91,932197.15,3027,929,2268,459,2416,2556,947,336,294,2070,3121,28013,10041,453,702
2020-07-02,INV_01,78434.24,838615.01,917049.25,3027,929,2268,459,2416,2556,947,336,294,2070,3121,28013,10041,453,702
2020-07-03,INV_01,121324.03,783018.2,904342.23,3027,929,2268,459,2416,2556,947,336,294,2070,3121,28013,7530,453,702
2020-07-06,INV_01,121324.03,781881.79,903205.82,3027,929,2268,459,2416,2556,947,336,294,2070,3121,28013,7530,453,702
2020-07-07,INV_01,128089.03,779282.88,907371.91,3027,929,2268,459,2416,2556,947,336,294,2070,3121,28013,7530,339,702
2020-07-08,INV_01,108708.97,797631.36,906340.33,3027,929,2268,459,2416,2556,947,559,294,2070,3121,28013,7530,339,702
2020-07-09,INV_01,131591.04,777193.76,908784.8,3027,929,2268,459,2416,2556,947,559,294,2070,3121,21009,7530,339,702
2020-07-10,INV_01,136397.19,751572.52,887969.71,3027,929,2268,459,2416,2556,947,559,294,2070,3121,21009,7530,254,702
2020-07-13,INV_01,149684.97,709721.96,859406.93,3027,696,2268,459,2416,2556,947,559,294,2070,3121,21009,7530,254,702
2020-07-14,INV_01,127034.13,747433.57,874467.7,3027,696,2268,459,2416,2556,947,831,294,2070,3121,21009,7530,254,702
2020-07-15,INV_01,135506.69,733690.87,869197.55,3027,696,2268,459,2416,2556,947,831,294,2070,3121,21009,7530,254,526
2020-07-16,INV_01,114987.34,763675.72,878663.06,3027,696,2268,459,2416,4535,947,831,294,2070,3121,21009,7530,254,526
2020-07-17,INV_01,97573.28,789992.76,887566.05,3027,696,2268,459,2416,4535,947,831,294,2070,3121,21009,8550,254,526
2020-07-20,INV_01,82792.76,815772.45,898565.2,3971,696,2268,459,2416,4535,947,831,294,2070,3121,21009,8550,254,526
2020-07-21,INV_01,82792.76,813175.97,895968.72,3971,696,2268,459,2416,4535,947,831,294,2070,3121,21009,8550,254,526
2020-07-22,INV_01,70286.05,827314.16,897600.2,3971,696,2268,716,2416,4535,947,831,294,2070,3121,21009,8550,254,526
2020-07-23,INV_01,59643.05,840886.84,900529.9,3971,696,2268,716,2416,4535,947,831,294,2070,3121,21009,8550,254,733
2020-07-24,INV_01,59643.05,839557.67,899200.72,3971,696,2268,716,2416,4535,947,831,294,2070,3121,21009,8550,254,733
2020-07-27,INV_01,77844.7,829389.93,907234.62,3971,696,2268,716,2416,4535,947,831,294,2070,3121,15756,8550,254,733
2020-07-28,INV_01,66080.02,835333.35,901413.37,3971,696,2268,716,2416,4535,947,831,294,2070,3121,15756,8550,254,960
2020-07-29,INV_01,82053.35,815321.6,897374.96,2978,696,2268,716,2416,4535,947,831,294,2070,3121,15756,8550,254,960
2020-07-30,INV_01,69699.43,825689.93,895389.35,2978,696,2268,716,2416,4535,947,972,294,2070,3121,15756,8550,254,960
2020-07-31,INV_01,59145.09,845137.75,904282.83,2978,696,2268,716,2416,4535,947,972,294,2568,3121,15756,8550,254,960
2020-08-03,INV_01,62784.31,841461.76,904246.07,2978,696,2268,716,2416,4535,947,972,294,2568,3121,15756,8550,190,960
2020-08-04,INV_01,72881.03,837839.79,910720.82,2978,696,2268,716,2416,4535,947,972,294,2568,2340,15756,8550,190,960
2020-08-05,INV_01,61839.77,848567.01,910406.77,2978,696,2268,716,2416,4535,947,972,294,2568,2340,15756,9232,190,960
2020-08-06,INV_01,61839.77,850986.65,912826.41,2978,696,2268,716,2416,4535,947,972,294,2568,2340,15756,9232,190,960
2020-08-07,INV_01,61839.77,852250.71,914090.48,2978,696,2268,716,2416,4535,947,972,294,2568,2340,15756,9232,190,960
2020-08-10,INV_01,52485.98,855434.59,907920.58,2978,696,2268,716,2416,4535,947,972,294,2568,2340,15756,9814,190,960
2020-08-11,INV_01,44550.06,871282.84,915832.91,2978,696,2268,881,2416,4535,947,972,294,2568,2340,15756,9814,190,960
2020-08-12,INV_01,44550.06,883215.59,927765.66,2978,696,2268,881,2416,4535,947,972,294,2568,2340,15756,9814,190,960
2020-08-13,INV_01,44550.06,895772.5,940322.56,2978,696,2268,881,2416,4535,947,972,294,2568,2340,15756,9814,190,960
2020-08-14,INV_01,47571.23,899622.61,947193.85,2978,696,2268,881,2416,4535,947,972,294,2568,2340,15756,9814,142,960
2020-08-17,INV_01,52216.19,888047.44,940263.63,2978,696,2268,881,1812,4535,947,972,294,2568,2340,15756,9814,142,960
2020-08-18,INV_01,44353.08,899937.94,944291.02,2978,696,2268,881,1812,4535,947,972,294,2568,2340,15756,9814,142,1111
2020-08-19,INV_01,44353.08,915057.54,959410.63,2978,696,2268,881,1812,4535,947,972,294,2568,2340,15756,9814,142,1111
2020-08-20,INV_01,44353.08,914674.45,959027.54,2978,696,2268,881,1812,4535,947,972,294,2568,2340,15756,9814,142,1111
2020-08-21,INV_01,77933.26,890514.42,968447.68,2978,696,1701,881,1812,4535,947,972,294,2568,2340,15756,9814,142,1111
2020-08-24,INV_01,66130.27,901123.62,967253.89,2978,696,1701,881,3290,4535,947,972,294,2568,2340,15756,9814,142,1111
2020-08-25,INV_01,56113.09,911631.84,967744.92,2978,696,1701,881,3290,4535,947,972,294,2568,2340,18366,9814,142,1111
2020-08-26,INV_01,56113.09,906611.16,962724.25,2978,696,1701,881,3290,4535,947,972,294,2568,2340,18366,9814,142,1111
2020-08-27,INV_01,69323.79,889780.96,959104.74,2978,696,1701,881,3290,4535,710,972,294,2568,2340,18366,9814,142,1111
2020-08-28,INV_01,69323.79,889923.64,959247.42,2978,696,1701,881,3290,4535,710,972,294,2568,2340,18366,9814,142,1111
2020-08-31,INV_01,69323.79,884993.65,954317.44,2978,696,1701,881,3290,4535,710,972,294,2568,2340,18366,9814,142,1111
2020-09-01,INV_01,83442.05,870732.78,954174.83,2978,696,1701,881,3290,4535,710,972,294,1926,2340,18366,9814,142,1111
2020-09-02,INV_01,70803.31,883771.9,954575.21,2978,696,1701,881,3290,4535,710,972,294,1926,2340,21842,9814,142,1111
2020-09-03,INV_01,60083.2,894518.25,954601.45,2978,696,1701,881,3290,4535,710,972,294,1926,3102,21842,9814,142,1111
2020-09-04,INV_01,60083.2,887207.38,947290.59,2978,696,1701,881,3290,4535,710,972,294,1926,3102,21842,9814,142,1111
2020-09-07,INV_01,99308.83,842789.92,942098.75,2978,696,1701,881,3290,4535,710,972,294,1926,3102,21842,7360,142,1111
2020-09-08,INV_01,118231.2,826157.66,944388.86,2978,696,1701,881,3290,4535,710,972,294,1926,3102,16381,7360,142,1111
2020-09-09,INV_01,118231.2,834212.49,952443.68,2978,696,1701,881,3290,4535,710,972,294,1926,3102,16381,7360,142,1111
2020-09-10,INV_01,128846.33,830762.21,959608.54,2978,696,1701,881,3290,4535,710,972,294,1444,3102,16381,7360,142,1111
2020-09-11,INV_01,109332.28,857278.72,966611.01,2978,696,1701,881,3290,5735,710,972,294,1444,3102,16381,7360,142,1111
2020-09-14,INV_01,92778.3,894985.83,987764.13,3790,696,1701,881,3290,5735,710,972,294,1444,3102,16381,7360,142,1111
2020-09-15,INV_01,106452.5,883783.63,990236.13,3790,696,1701,881,3290,5735,710,972,294,1444,3102,16381,7360,142,833
2020-09-16,INV_01,90332.46,920340.15,1010672.61,3790,696,1701,881,3290,5735,710,972,294,1444,3102,16381,7360,372,833
2020-09-17,INV_01,76650.08,958298.45,1034948.52,3790,696,1701,881,3290,5735,710,972,294,1444,3921,16381,7360,372,833
2020-09-18,INV_01,76650.08,968000.63,1044650.7,3790,696,1701,881,3290,5735,710,972,294,1444,3921,16381,7360,372,833
2020-09-21,INV_01,76650.08,981295.51,1057945.59,3790,696,1701,881,3290,5735,710,972,294,1444,3921,16381,7360,372,833
2020-09-22,INV_01,65172.54,997010.51,1062183.06,3790,696,1701,881,3290,5735,710,972,379,1444,3921,16381,7360,372,833
2020-09-23,INV_01,55349.41,1007032.78,1062382.19,3790,696,1868,881,3290,5735,710,972,379,1444,3921,16381,7360,372,833
2020-09-24,INV_01,47001.06,1019494.33,1066495.4,3790,696,1868,1027,3290,5735,710,972,379,1444,3921,16381,7360,372,833
2020-09-25,INV_01,47001.06,1022679.84,1069680.91,3790,696,1868,1027,3290,5735,710,972,379,1444,3921,16381,7360,372,833
2020-09-28,INV_01,47001.06,1035706.71,1082707.77,3790,696,1868,1027,3290,5735,710,972,379,1444,3921,16381,7360,372,833
2020-09-29,INV_01,47001.06,1029106.3,1076107.36,3790,696,1868,1027,3290,5735,710,972,379,1444,3921,16381,7360,372,833
2020-09-30,INV_01,47001.06,1024258.12,1071259.19,3790,696,1868,1027,3290,5735,710,972,379,1444,3921,16381,7360,372,833
2020-10-01,INV_01,47001.06,1024258.12,1071259.19,3790,696,1868,1027,3290,5735,710,972,379,1444,3921,16381,7360,372,833
2020-10-02,INV_01,47001.06,1029378.14,1076379.21,3790,696,1868,1027,3290,5735,710,972,379,1444,3921,16381,7360,372,833
2020-10-05,INV_01,58436.82,925630.33,984067.16,3790,696,1868,1027,3290,5735,532,972,379,1444,3921,16381,7360,372,833
2020-10-06,INV_01,49597.67,923339.88,972937.55,3790,696,1868,1027,3290,6188,532,972,379,1444,3921,16381,7360,372,833
2020-10-07,INV_01,49597.67,930011.39,979609.06,3790,696,1868,1027,3290,6188,532,972,379,1444,3921,16381,7360,372,833
2020-10-08,INV_01,49597.67,953346.63,1002944.3,3790,696,1868,1027,3290,6188,532,972,379,1444,3921,16381,7360,372,833
2020-10-09,INV_01,49597.67,967617.22,1017214.89,3790,696,1868,1027,3290,6188,532,972,379,1444,3921,16381,7360,372,833
2020-10-12,INV_01,72234.18,945302.91,1017537.09,3790,696,1868,1027,3290,6188,532,729,379,1444,3921,16381,7360,372,833
2020-10-13,INV_01,90373.72,917792.51,1008166.23,3790,696,1868,1027,3290,6188,532,729,379,1444,2940,16381,7360,372,833
2020-10-14,INV_01,76703.8,964685.35,1041389.15,3790,696,1868,1027,3290,6188,532,729,379,1444,2940,16381,7360,372,1123
2020-10-15,INV_01,76703.8,993442.61,1070146.41,3790,696,1868,1027,3290,6188,532,729,379,1444,2940,16381,7360,372,1123
2020-10-16,INV_01,76703.8,992143.38,1068847.18,3790,696,1868,1027,3290,6188,532,729,379,1444,2940,16381,7360,372,1123
2020-10-19,INV_01,65110.87,1001335.51,1066446.38,3790,696,2074,1027,3290,6188,532,729,379,1444,2940,16381,7360,372,1123
2020-10-20,INV_01,55312.05,1014633.08,1069945.13,3790,696,2074,1027,3290,6188,532,729,379,1444,2940,16381,7360,516,1123
2020-10-21,INV_01,67816.28,943867.92,1011684.19,3790,696,2074,770,3290,6188,532,729,379,1444,2940,16381,7360,516,1123
2020-10-22,INV_01,57557.87,965965.65,1023523.52,3790,696,2074,770,3290,6188,532,729,379,1444,2940,16381,7360,516,1338
2020-10-23,INV_01,48875.48,972845.75,1021721.22,3790,832,2074,770,3290,6188,532,729,379,1444,2940,16381,7360,516,1338
