Date,ASPI,SP_SL20
2023-04-12,9415.28,2754.23
2023-04-17,9405.9,2767.88
2023-04-18,9345.53,2728.95
2023-04-19,9291.42,2710.43
2023-04-20,9279.19,2718.22
2023-04-21,9260.41,2711.1
2023-04-24,9187.29,2683.75
2023-04-25,9125.32,2656.88
2023-04-26,9091.72,2646.48
2023-04-27,9012.4,2625.2
2023-04-28,8983.21,2617.79
2023-05-02,8711.46,2514.37
2023-05-03,8799.91,2534.03
2023-05-04,8830.36,2558.67
2023-05-08,8926.58,2593.44
2023-05-09,8914.74,2604.47
2023-05-10,8892.37,2588.63
2023-05-11,8949.82,2603.92
2023-05-12,8927.74,2587.89
2023-05-15,8906.2,2569.37
2023-05-16,8823.01,2542.68
2023-05-17,8823.28,2539.17
2023-05-18,8780.21,2507.71
2023-05-19,8716.96,2478.4
2023-05-22,8611.38,2434.31
2023-05-23,8635.31,2448.89
2023-05-24,8755.17,2496.55
2023-05-25,8712.72,2489.82
2023-05-26,8697.07,2480.76
2023-05-29,8575.11,2428.92
2023-05-30,8532.6,2420.73
2023-05-31,8555.17,2421.49
2023-06-01,8691.61,2470.42
2023-06-02,8753.8,2487.29
2023-06-05,8766.6,2489.88
2023-06-06,8746.45,2478.36
2023-06-07,8722.06,2463.82
2023-06-08,8767.34,2475.11
2023-06-09,8818.39,2494.68
2023-06-12,9014.83,2548.34
2023-06-13,9069.64,2569.74
2023-06-14,9216.49,2634.81
2023-06-15,9279.28,2642.42
2023-06-16,9248.56,2638.82
2023-06-19,9181.22,2608.87
2023-06-20,9159.53,2606.15
2023-06-21,9295.4,2657.11
2023-06-22,9307.87,2667.06
2023-06-23,9339.43,2673.61
2023-06-26,9434.26,2714.86
2023-06-27,9368.91,2694.92
2023-06-28,9442.95,2713.65
2023-07-04,10076.64,2973.12
2023-07-05,10176.13,3013.37
2023-07-06,10194.47,3002.53
2023-07-07,10301.96,3022.38
2023-07-10,10311.25,3003.96
2023-07-11,10315.81,3003.5
2023-07-12,10489.98,3060.5
2023-07-13,10491.52,3058.32
2023-07-14,10595.02,3106.77
2023-07-17,10727.99,3156.92
2023-07-18,10796.07,3162.66
2023-07-19,10927.29,3184.54
2023-07-20,11026.83,3205.16
2023-07-21,11106.54,3231.83
2023-07-24,11093.92,3218.32
2023-07-25,11069.44,3198.99
2023-07-26,10985.08,3167.38
2023-07-27,11257.82,3273.76
2023-07-28,11312.19,3277.53
2023-07-31,11386.72,3309.6
2023-08-02,11446.83,3321.06
2023-08-03,11582.34,3389.67
2023-08-04,11633.51,3411.06
2023-08-07,11681.66,3447.44
2023-08-08,11724.22,3470.13
2023-08-09,11631.97,3447.96
2023-08-10,11649.99,3448.59
2023-08-11,11596.16,3420.56
2023-08-14,11392.22,3311.08
2023-08-15,11224.22,3257.35
2023-08-16,11386.4,3314.63
2023-08-17,11425.69,3299.99
2023-08-18,11403.92,3266.68
2023-08-21,11338.5,3238.4
2023-08-22,11279.03,3204.26
2023-08-23,11385.47,3249.17
2023-08-24,11262.92,3195.65
2023-08-25,11207.11,3169.8
2023-08-28,11169.73,3152.84
2023-08-29,11165.59,3150.26
2023-08-31,11114.17,3131.07
2023-09-01,11156.42,3153.65
2023-09-04,11374.64,3234.27
2023-09-05,11474.95,3268.67
2023-09-06,11353.65,3218.84
2023-09-07,11357.45,3213.46
2023-09-08,11466.07,3248.36
2023-09-11,11386.73,3221.82
2023-09-12,11348.25,3208.13
2023-09-13,11438.82,3237.29
2023-09-14,11532.69,3264.42
2023-09-15,11465.73,3244.51
2023-09-18,11363.64,3213.42
2023-09-19,11248.5,3167.65
2023-09-20,11274.33,3172.81
2023-09-21,11207.98,3154.43
2023-09-22,11256.52,3178.59
2023-09-25,11216.5,3164.52
2023-09-26,11248.16,3165.96
2023-09-27,11335.61,3197.72
2023-10-02,11163.76,3150.71
2023-10-03,11034.87,3111.98
2023-10-04,11080.79,3121.29
2023-10-05,11042.95,3112.82
2023-10-06,10987.12,3100.8
2023-10-09,10824.24,3047.7
2023-10-10,10817.53,3041.32
2023-10-11,10675.3,2997.85
2023-10-12,10818.41,3040.57
2023-10-13,10813.03,3042.1
2023-10-16,10721.84,2999.9
2023-10-17,10647.33,2973.12
2023-10-18,10557.16,2941.08
2023-10-19,10590.42,2952.08
2023-10-20,10850.53,3050.2
2023-10-23,10862.11,3055.8
2023-10-24,10731.41,3017.02
2023-10-25,10614.46,2977.38
2023-10-26,10536.33,2952.22
2023-10-27,10689.5,3015.37
2023-10-30,10687.99,3015.44
2023-10-31,10647.33,2994.35
2023-11-01,10770.54,3034.45
2023-11-02,10826.6,3052.16
2023-11-03,10789.87,3031.28
2023-11-06,10791.99,3046.51
2023-11-07,10871.81,3071.02
2023-11-08,10938.05,3105.19
2023-11-09,10889.48,3088.93
2023-11-10,10872.28,3081.71
2023-11-13,10898.9,3087.2
2023-11-14,10775.43,3040.56
2023-11-15,10723.65,3026.72
2023-11-16,10662.08,3007.36
2023-11-17,10613.11,2996.86
2023-11-20,10546.37,2977.9
2023-11-21,10507.85,2972.37
2023-11-22,10547.75,2981.6
2023-11-23,10522.52,2979.92
2023-11-24,10526.93,2981.93
2023-11-27,10480.02,2970.47
2023-11-28,10452.22,2970.67
2023-11-29,10513.28,2977.76
2023-11-30,10593.9,3010.03
2023-12-01,10720.26,3047.12
2023-12-04,10743.59,3067.73
2023-12-05,10700.09,3054.41
2023-12-06,10703.09,3056.33
2023-12-07,10713.24,3065.45
2023-12-08,10793.84,3102.99
2023-12-11,10850.78,3136.34
2023-12-12,10874.39,3139.82
2023-12-13,10836.82,3137.3
2023-12-14,10783.81,3119.18
2023-12-15,10742.08,3102.64
2023-12-18,10672.69,3075.41
2023-12-19,10612.19,3052.6
2023-12-20,10603.56,3045.28
2023-12-21,10623.51,3052.68
2023-12-22,10605.6,3040.2
2023-12-27,10605.16,3048.91
2023-12-28,10626.56,3054.14
2023-12-29,10654.16,3068.36
